species;longitude;latitude;source
Chrysopogon gryllus (L.) Trin.;9.02735262353889;46.2583419455113;infoflora
Chrysopogon gryllus (L.) Trin.;9.00405873045812;46.0154501633543;infoflora
Chrysopogon gryllus (L.) Trin.;8.782905911483;46.1551680930397;infoflora
Chrysopogon gryllus (L.) Trin.;9.00420587811657;46.015628062528;infoflora
Chrysopogon gryllus (L.) Trin.;9.00448082485878;46.0157591976408;infoflora
Chrysopogon gryllus (L.) Trin.;9.00460604547588;46.0156224967405;infoflora
Chrysopogon gryllus (L.) Trin.;9.00480019033523;46.0156377904824;infoflora
Chrysopogon gryllus (L.) Trin.;8.88499219959729;45.9621252570954;infoflora
Chrysopogon gryllus (L.) Trin.;8.87998955058633;45.9612537973046;infoflora
Chrysopogon gryllus (L.) Trin.;8.97827360496875;46.3639391683618;infoflora
Chrysopogon gryllus (L.) Trin.;8.75843278870036;46.1560326828246;infoflora
Chrysopogon gryllus (L.) Trin.;8.98874138166444;46.0071957212291;infoflora
Chrysopogon gryllus (L.) Trin.;9.03250001206938;46.2449802240408;infoflora
Chrysopogon gryllus (L.) Trin.;8.6422378819297;46.1670207128852;infoflora
Chrysopogon gryllus (L.) Trin.;8.74431642943007;46.2158279042361;infoflora
Chrysopogon gryllus (L.) Trin.;8.74323825131664;46.2189712609687;infoflora
Chrysopogon gryllus (L.) Trin.;8.74555508610556;46.1750938525981;infoflora
Chrysopogon gryllus (L.) Trin.;9.03516637870815;46.1975078774113;infoflora
Chrysopogon gryllus (L.) Trin.;8.68649602071786;46.2049023288688;infoflora
Chrysopogon gryllus (L.) Trin.;8.68659780154768;46.2048202340985;infoflora
Chrysopogon gryllus (L.) Trin.;8.68678204879153;46.2049441533466;infoflora
Chrysopogon gryllus (L.) Trin.;8.94152252561055;45.8930605838359;infoflora
Chrysopogon gryllus (L.) Trin.;8.86667507936734;46.1840906600673;infoflora
Chrysopogon gryllus (L.) Trin.;8.73082573404304;46.1896582615967;infoflora
Chrysopogon gryllus (L.) Trin.;8.94754209413578;45.8880045384846;infoflora
Chrysopogon gryllus (L.) Trin.;8.74494018957331;46.1807779723864;infoflora
Chrysopogon gryllus (L.) Trin.;8.74690619972089;46.1801254358416;infoflora
Chrysopogon gryllus (L.) Trin.;8.91380540633931;45.9561189005617;infoflora
Chrysopogon gryllus (L.) Trin.;8.94119085521612;45.8931819819624;infoflora
Chrysopogon gryllus (L.) Trin.;8.64263042018288;46.1672054574806;infoflora
Chrysopogon gryllus (L.) Trin.;8.91639209784623;45.9267637303684;infoflora
Chrysopogon gryllus (L.) Trin.;9.03296725052882;46.2401239916964;infoflora
Chrysopogon gryllus (L.) Trin.;8.94482689179292;45.8693812445859;infoflora
Chrysopogon gryllus (L.) Trin.;9.00517912883278;46.0171440602699;infoflora
Chrysopogon gryllus (L.) Trin.;8.91626870202542;46.1366313219147;infoflora
Chrysopogon gryllus (L.) Trin.;8.8850573948724;45.962151409528;infoflora
Chrysopogon gryllus (L.) Trin.;8.9613508200895;45.9078455897564;infoflora
Chrysopogon gryllus (L.) Trin.;8.96175445685406;45.9079930685612;infoflora
Chrysopogon gryllus (L.) Trin.;8.75960113429344;46.1989070792107;infoflora
Chrysopogon gryllus (L.) Trin.;8.73719355602825;46.1540927801227;infoflora
Chrysopogon gryllus (L.) Trin.;8.7587096626073;46.1984766525606;infoflora
Chrysopogon gryllus (L.) Trin.;8.70045278068731;46.1842617022917;infoflora
Chrysopogon gryllus (L.) Trin.;9.00498606691673;46.0158151498732;infoflora
Chrysopogon gryllus (L.) Trin.;9.00490758379393;46.015780252744;infoflora
Chrysopogon gryllus (L.) Trin.;9.0046721350273;46.0156755610285;infoflora
Chrysopogon gryllus (L.) Trin.;9.00473796695634;46.01571963159;infoflora
Chrysopogon gryllus (L.) Trin.;8.90723388030841;46.1822389294128;infoflora
Chrysopogon gryllus (L.) Trin.;8.88264742365308;45.9607788535023;infoflora
Chrysopogon gryllus (L.) Trin.;8.88362229693363;45.9605683997612;infoflora
Chrysopogon gryllus (L.) Trin.;8.88374745543713;45.9604228405105;infoflora
