taxa;x;y
Danthonia alpina Vest;2717548;1085184
Danthonia alpina Vest;2717169;1085342
Danthonia alpina Vest;2717171;1085342
Danthonia alpina Vest;2717170;1085340
Danthonia alpina Vest;2717170;1085338
Danthonia alpina Vest;2717118;1085272
Danthonia alpina Vest;2717338;1085390
Danthonia alpina Vest;2717567;1085137
Danthonia alpina Vest;2717562;1085143
Danthonia alpina Vest;2717338;1085390
Danthonia alpina Vest;2717112;1085354
Danthonia alpina Vest;2717565;1085161
Danthonia alpina Vest;2717394;1085381
Danthonia alpina Vest;2717163;1085377
Danthonia alpina Vest;2717155;1085388
Danthonia alpina Vest;2717166;1085390
Danthonia alpina Vest;2717165;1085386
Danthonia alpina Vest;2717168;1085385
Danthonia alpina Vest;2717109;1085350
Danthonia alpina Vest;2717406;1085376
Danthonia alpina Vest;2717167;1085373
Danthonia alpina Vest;2717395;1085384
Danthonia alpina Vest;2717409;1085383
Danthonia alpina Vest;2717388;1085394
Danthonia alpina Vest;2717388;1085377
Danthonia alpina Vest;2717395;1085382
Danthonia alpina Vest;2717216;1085484
Danthonia alpina Vest;2717414;1085366
Danthonia alpina Vest;2717338;1085388
Danthonia alpina Vest;2717553;1085156
Danthonia alpina Vest;2717100;1085334
Danthonia alpina Vest;2717109;1085340
Danthonia alpina Vest;2717103;1085338
Danthonia alpina Vest;2717108;1085348
Danthonia alpina Vest;2717544;1085174
